"DCQ160.Code.or.Value","DCQ160.Value.Description","DCQ160.Count","DCQ160.Cumulative","DCQ160.Skip.to.Item"
"1","Smooth and Cleanable",235,235,NA
"2","Not Smooth and Cleanable",10,245,NA
"3","Carpet",80,325,NA
".","Missing",1005,1330,NA
