"MCQ260BG.Code.or.Value","MCQ260BG.Value.Description","MCQ260BG.Count","MCQ260BG.Cumulative","MCQ260BG.Skip.to.Item"
"7","Brother",27,27,"MCQ250C"
".","Missing",10443,10470,""
