"RFXC157.Code.or.Value","RFXC157.Value.Description","RFXC157.Count","RFXC157.Cumulative","RFXC157.Skip.to.Item"
"-7.577 to 7.717","Range of Values",51051,51051,NA
".","Missing",25,51076,NA
