"WBXF006.Code.or.Value","WBXF006.Value.Description","WBXF006.Count","WBXF006.Cumulative","WBXF006.Skip.to.Item"
"343.4884 to 343.4884","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
