"CBD765.Code.or.Value","CBD765.Value.Description","CBD765.Count","CBD765.Cumulative","CBD765.Skip.to.Item"
"1","Less than high school",619,619,NA
"2","High school diploma (including GED), or",589,1208,NA
"3","More than high school",1237,2445,NA
"7","Refused",1,2446,NA
"9","Don't know",4,2450,NA
".","Missing",495,2945,NA
