"DS1TCHOL.Code.or.Value","DS1TCHOL.Value.Description","DS1TCHOL.Count","DS1TCHOL.Cumulative","DS1TCHOL.Skip.to.Item"
"1 to 150","Range of Values",357,357,NA
".","Missing",9187,9544,NA
