"MCQ260FA.Code.or.Value","MCQ260FA.Value.Description","MCQ260FA.Count","MCQ260FA.Cumulative","MCQ260FA.Skip.to.Item"
"1","Mother",571,571,"MCQ250G"
"77","Refused",0,571,"MCQ250G"
"99","Don't know",0,571,"MCQ250G"
".","Missing",8922,9493,""
