"URXDMA.Code.or.Value","URXDMA.Value.Description","URXDMA.Count","URXDMA.Cumulative","URXDMA.Skip.to.Item"
"0.14 to 8500","Range of Values",2271,2271,NA
".","Missing",377,2648,NA
