"KIQ046.Code.or.Value","KIQ046.Value.Description","KIQ046.Count","KIQ046.Cumulative","KIQ046.Skip.to.Item"
"1","Yes",289,289,""
"2","No",4041,4330,"KIQ048A"
"7","Refused",0,4330,"KIQ048A"
"9","Don't know",14,4344,"KIQ048A"
".","Missing",635,4979,""
