"URXMOH.Code.or.Value","URXMOH.Value.Description","URXMOH.Count","URXMOH.Cumulative","URXMOH.Skip.to.Item"
"0.14 to 528.7","Range of Values",2489,2489,NA
".","Missing",105,2594,NA
