"URDUPBLC.Code.or.Value","URDUPBLC.Value.Description","URDUPBLC.Count","URDUPBLC.Cumulative","URDUPBLC.Skip.to.Item"
"0","At or above the detection limit",2510,2510,NA
"1","Below lower detection limit",18,2528,NA
".","Missing",77,2605,NA
