"URDUURLC.Code.or.Value","URDUURLC.Value.Description","URDUURLC.Count","URDUURLC.Cumulative","URDUURLC.Skip.to.Item"
"0","At or above the detection limit",2392,2392,NA
"1","Below lower detection limit",184,2576,NA
".","Missing",116,2692,NA
