"LBCMIR.Code.or.Value","LBCMIR.Value.Description","LBCMIR.Count","LBCMIR.Cumulative","LBCMIR.Skip.to.Item"
"3.536 to 633.5","Range of Values",284,284,NA
".","Missing",0,284,NA
