"URDMU5LC.Code.or.Value","URDMU5LC.Value.Description","URDMU5LC.Count","URDMU5LC.Cumulative","URDMU5LC.Skip.to.Item"
"0","At or above the detection limit",2633,2633,NA
"1","Below lower detection limit",81,2714,NA
".","Missing",117,2831,NA
