"DR1IATOC.Code.or.Value","DR1IATOC.Value.Description","DR1IATOC.Count","DR1IATOC.Cumulative","DR1IATOC.Skip.to.Item"
"0 to 72.28","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
