"LBXBGM.Code.or.Value","LBXBGM.Value.Description","LBXBGM.Count","LBXBGM.Cumulative","LBXBGM.Skip.to.Item"
"0.08 to 47.15","Range of Values",5175,5175,NA
".","Missing",757,5932,NA
