"OHD14LAS.Code.or.Value","OHD14LAS.Value.Description","OHD14LAS.Count","OHD14LAS.Cumulative","OHD14LAS.Skip.to.Item"
"0 to 8","Range of Values",2270,2270,NA
"99","Calculation cannot be determined",522,2792,NA
".","Missing",4338,7130,NA
