"DSDANCNT.Code.or.Value","DSDANCNT.Value.Description","DSDANCNT.Count","DSDANCNT.Cumulative","DSDANCNT.Skip.to.Item"
"0 to 3","Range of Values",10145,10145,NA
"77","Refused",2,10147,NA
"99","Don't know",2,10149,NA
".","Missing",0,10149,NA
