"DR1IFOLA.Code.or.Value","DR1IFOLA.Value.Description","DR1IFOLA.Count","DR1IFOLA.Cumulative","DR1IFOLA.Skip.to.Item"
"0 to 2374","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
