"OHD12LAS.Code.or.Value","OHD12LAS.Value.Description","OHD12LAS.Count","OHD12LAS.Cumulative","OHD12LAS.Skip.to.Item"
"0 to 13","Range of Values",1397,1397,NA
"99","Calculation cannot be determined",419,1816,NA
".","Missing",4942,6758,NA
