"LBD209LC.Code.or.Value","LBD209LC.Value.Description","LBD209LC.Count","LBD209LC.Cumulative","LBD209LC.Skip.to.Item"
"0","At or above the detection limit",237,237,NA
"1","Below lower detection limit",63,300,NA
".","Missing",1,301,NA
