"PFD069Q.Code.or.Value","PFD069Q.Value.Description","PFD069Q.Count","PFD069Q.Cumulative","PFD069Q.Skip.to.Item"
"122 to 21915","Range of Values",126,126,NA
"66666","Since birth",8,134,NA
"77777","Refused",0,134,NA
"99999","Don't know",3,137,NA
".","Missing",9685,9822,NA
