"DS2TFDFE.Code.or.Value","DS2TFDFE.Value.Description","DS2TFDFE.Count","DS2TFDFE.Cumulative","DS2TFDFE.Skip.to.Item"
"10.6 to 6800","Range of Values",1895,1895,NA
".","Missing",8358,10253,NA
