"WBXA014.Code.or.Value","WBXA014.Value.Description","WBXA014.Count","WBXA014.Cumulative","WBXA014.Skip.to.Item"
"-12.2169 to 0.9936","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
