"BMXHEAD.Code.or.Value","BMXHEAD.Value.Description","BMXHEAD.Count","BMXHEAD.Cumulative","BMXHEAD.Skip.to.Item"
"33.5 to 47.4","Range of Values",260,260,NA
".","Missing",9502,9762,NA
