"DR1TMOIS.Code.or.Value","DR1TMOIS.Value.Description","DR1TMOIS.Count","DR1TMOIS.Cumulative","DR1TMOIS.Skip.to.Item"
"135.95 to 17350.04","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
