"LBDHDD.Code.or.Value","LBDHDD.Value.Description","LBDHDD.Count","LBDHDD.Cumulative","LBDHDD.Skip.to.Item"
"10 to 173","Range of Values",7624,7624,NA
".","Missing",667,8291,NA
