"SMQ690J.Code.or.Value","SMQ690J.Value.Description","SMQ690J.Count","SMQ690J.Cumulative","SMQ690J.Skip.to.Item"
"10","Dissolvables",0,0,NA
".","Missing",6979,6979,NA
