"MCQ240bb.Code.or.Value","MCQ240bb.Value.Description","MCQ240bb.Count","MCQ240bb.Cumulative","MCQ240bb.Skip.to.Item"
"25 to 66","Range of Values",12,12,NA
"80","80 years or older",0,12,NA
"77777","Refused",0,12,NA
"99999","Don't know",0,12,NA
".","Missing",9758,9770,NA
