"LBXEPP.Code.or.Value","LBXEPP.Value.Description","LBXEPP.Count","LBXEPP.Cumulative","LBXEPP.Skip.to.Item"
"18 to 884","Range of Values",7985,7985,NA
".","Missing",847,8832,NA
