"DR1TCALC.Code.or.Value","DR1TCALC.Value.Description","DR1TCALC.Count","DR1TCALC.Cumulative","DR1TCALC.Skip.to.Item"
"20 to 5668","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
