"AUXU8KL.Code.or.Value","AUXU8KL.Value.Description","AUXU8KL.Count","AUXU8KL.Cumulative","AUXU8KL.Skip.to.Item"
"-10 to 110","Range of Values",4283,4283,NA
"666","No response",12,4295,NA
"888","Could not obtain",30,4325,NA
".","Missing",257,4582,NA
