"DR2TVB6.Code.or.Value","DR2TVB6.Value.Description","DR2TVB6.Count","DR2TVB6.Cumulative","DR2TVB6.Skip.to.Item"
"0 to 22.764","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
