"DR1IFF.Code.or.Value","DR1IFF.Value.Description","DR1IFF.Count","DR1IFF.Cumulative","DR1IFF.Skip.to.Item"
"0 to 1201","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
