"PFQ061P.Code.or.Value","PFQ061P.Value.Description","PFQ061P.Count","PFQ061P.Cumulative","PFQ061P.Skip.to.Item"
"1","No difficulty",2233,2233,NA
"2","Some difficulty",546,2779,NA
"3","Much difficulty",120,2899,NA
"4","Unable to do",24,2923,NA
"5","Do not do this activity",3,2926,NA
"7","Refused",0,2926,NA
"9","Don't know",1,2927,NA
".","Missing",5494,8421,NA
