"CBQ698cd.Code.or.Value","CBQ698cd.Value.Description","CBQ698cd.Count","CBQ698cd.Cumulative","CBQ698cd.Skip.to.Item"
"91","Others",16,16,NA
".","Missing",2929,2945,NA
