"DR2TCAFF.Code.or.Value","DR2TCAFF.Value.Description","DR2TCAFF.Count","DR2TCAFF.Cumulative","DR2TCAFF.Skip.to.Item"
"0 to 3104","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
