"LBX052LA.Code.or.Value","LBX052LA.Value.Description","LBX052LA.Count","LBX052LA.Cumulative","LBX052LA.Skip.to.Item"
"1.3 to 57.1","Range of Values",1912,1912,NA
".","Missing",362,2274,NA
