"WBXF021.Code.or.Value","WBXF021.Value.Description","WBXF021.Count","WBXF021.Cumulative","WBXF021.Skip.to.Item"
"667.4199 to 667.4199","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
