"WTSHM34.Code.or.Value","WTSHM34.Value.Description","WTSHM34.Count","WTSHM34.Cumulative","WTSHM34.Skip.to.Item"
"0.0000000 to 747676.4899400","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
