"SSDBZP.Code.or.Value","SSDBZP.Value.Description","SSDBZP.Count","SSDBZP.Cumulative","SSDBZP.Skip.to.Item"
"0.04","0.04",2316,2316,NA
".","Missing",1,2317,NA
