"LBDHDL.Code.or.Value","LBDHDL.Value.Description","LBDHDL.Count","LBDHDL.Cumulative","LBDHDL.Skip.to.Item"
"16 to 160","Range of Values",8287,8287,NA
".","Missing",975,9262,NA
