"MPQ120g.Code.or.Value","MPQ120g.Value.Description","MPQ120g.Count","MPQ120g.Cumulative","MPQ120g.Skip.to.Item"
"16","Mid-arm - right",58,58,NA
".","Missing",4822,4880,NA
