"BPQ100C.Code.or.Value","BPQ100C.Value.Description","BPQ100C.Count","BPQ100C.Cumulative","BPQ100C.Skip.to.Item"
"1","Yes",661,661,NA
"2","No",226,887,NA
"7","Refused",0,887,NA
"9","Don't know",0,887,NA
".","Missing",5252,6139,NA
