"DSQTTFAT.Code.or.Value","DSQTTFAT.Value.Description","DSQTTFAT.Count","DSQTTFAT.Cumulative","DSQTTFAT.Skip.to.Item"
"0.003 to 36","Range of Values",732,732,NA
".","Missing",9443,10175,NA
