"URDMC1LC.Code.or.Value","URDMC1LC.Value.Description","URDMC1LC.Count","URDMC1LC.Cumulative","URDMC1LC.Skip.to.Item"
"0","At or above the detection limit",2437,2437,NA
"1","Below lower detection limit",538,2975,NA
".","Missing",230,3205,NA
