"LBDUIBLC.Code.or.Value","LBDUIBLC.Value.Description","LBDUIBLC.Count","LBDUIBLC.Cumulative","LBDUIBLC.Skip.to.Item"
"0","At or above detection limit",5893,5893,NA
"1","Below lower detection limit",6,5899,NA
".","Missing",502,6401,NA
