"CIQD111.Code.or.Value","CIQD111.Value.Description","CIQD111.Count","CIQD111.Cumulative","CIQD111.Skip.to.Item"
"6 to 38","Range of Values",76,76,NA
"77","Refuse",0,76,NA
"99","Don't know",0,76,NA
".","Missing",702,778,NA
