"TYXP073.Code.or.Value","TYXP073.Value.Description","TYXP073.Count","TYXP073.Cumulative","TYXP073.Skip.to.Item"
"-214 to 155","Range of Values",5581,5581,NA
".","Missing",4,5585,NA
