"VIQ310.Code.or.Value","VIQ310.Value.Description","VIQ310.Count","VIQ310.Cumulative","VIQ310.Skip.to.Item"
"1","Yes",148,148,""
"2","No",3844,3992,"End of Section"
"7","Refused",0,3992,"End of Section"
"9","Don't know",32,4024,"End of Section"
".","Missing",3149,7173,""
