"AUXLR255.Code.or.Value","AUXLR255.Value.Description","AUXLR255.Count","AUXLR255.Cumulative","AUXLR255.Skip.to.Item"
"-24 to 56","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
