"RFXT066.Code.or.Value","RFXT066.Value.Description","RFXT066.Count","RFXT066.Cumulative","RFXT066.Skip.to.Item"
"566 to 575","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
