"DS1TFDFE.Code.or.Value","DS1TFDFE.Value.Description","DS1TFDFE.Count","DS1TFDFE.Cumulative","DS1TFDFE.Skip.to.Item"
"9 to 34680","Range of Values",1650,1650,NA
".","Missing",8163,9813,NA
