"SSXHE1.Code.or.Value","SSXHE1.Value.Description","SSXHE1.Count","SSXHE1.Cumulative","SSXHE1.Skip.to.Item"
"1","positive",545,545,NA
"2","negative",933,1478,NA
"3","indeterminate",1,1479,NA
".","Missing",0,1479,NA
