"AUXU2KR.Code.or.Value","AUXU2KR.Value.Description","AUXU2KR.Count","AUXU2KR.Cumulative","AUXU2KR.Skip.to.Item"
"-10 to 105","Range of Values",4297,4297,NA
"666","No response",1,4298,NA
"888","Could not obtain",27,4325,NA
".","Missing",257,4582,NA
