"TYXP003.Code.or.Value","TYXP003.Value.Description","TYXP003.Count","TYXP003.Cumulative","TYXP003.Skip.to.Item"
"89 to 199","Range of Values",8469,8469,NA
".","Missing",0,8469,NA
