"LBX052.Code.or.Value","LBX052.Value.Description","LBX052.Count","LBX052.Cumulative","LBX052.Skip.to.Item"
"0.042 to 0.281","Range of Values",1537,1537,NA
".","Missing",1010,2547,NA
