"DIQ190C.Code.or.Value","DIQ190C.Value.Description","DIQ190C.Count","DIQ190C.Cumulative","DIQ190C.Skip.to.Item"
"1","Yes",1610,1610,NA
"2","No",5647,7257,NA
"7","Refused",0,7257,NA
"9","Don't know",10,7267,NA
".","Missing",2555,9822,NA
