"WBXA083.Code.or.Value","WBXA083.Value.Description","WBXA083.Count","WBXA083.Cumulative","WBXA083.Skip.to.Item"
"-0.7133 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
