"DS2TCHL.Code.or.Value","DS2TCHL.Value.Description","DS2TCHL.Count","DS2TCHL.Cumulative","DS2TCHL.Skip.to.Item"
"0 to 317","Range of Values",515,515,NA
".","Missing",9738,10253,NA
