"URXHEM.Code.or.Value","URXHEM.Value.Description","URXHEM.Count","URXHEM.Cumulative","URXHEM.Skip.to.Item"
"0.559 to 47.6","Range of Values",2452,2452,NA
".","Missing",153,2605,NA
