"DS1TPHOS.Code.or.Value","DS1TPHOS.Value.Description","DS1TPHOS.Count","DS1TPHOS.Cumulative","DS1TPHOS.Skip.to.Item"
"0.9 to 1040","Range of Values",972,972,NA
".","Missing",8790,9762,NA
