"WBXP073.Code.or.Value","WBXP073.Value.Description","WBXP073.Count","WBXP073.Cumulative","WBXP073.Skip.to.Item"
"-116.7321 to 125.9648","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
