"DR1ISUGR.Code.or.Value","DR1ISUGR.Value.Description","DR1ISUGR.Count","DR1ISUGR.Cumulative","DR1ISUGR.Skip.to.Item"
"0 to 825.42","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
